,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,floor,hasLift
0,750.0,flat,60.0,True,1,1,Madrid,7037,3,True
1,750.0,flat,70.0,True,2,1,San Sebastián de los Reyes,16145,bj,False
2,400.0,penthouse,67.0,True,2,2,Villamanrique de Tajo,55041,2,False
3,590.0,flat,70.0,True,3,2,Rascafría,56596,sin informacion,False
4,684.0,studio,45.0,True,0,1,Madrid,10656,sin informacion,sin informacion
5,600.0,flat,73.0,True,2,1,Manzanares el Real,37062,3,False
6,600.0,duplex,71.0,True,1,1,Miraflores de la Sierra,44126,1,False
7,550.0,flat,53.0,True,1,1,Madrid,4008,1,False
8,700.0,studio,28.0,True,0,1,Madrid,5569,1,False
9,700.0,duplex,86.0,True,2,1,Galapagar,31153,3,True
10,700.0,flat,45.0,False,1,1,Madrid,2046,5,False
11,550.0,flat,54.0,True,2,1,Arganda,26233,en,False
12,695.0,flat,64.0,True,2,1,San Sebastián de los Reyes,15747,1,False
13,650.0,flat,68.0,True,2,1,San Lorenzo de el Escorial,42410,bj,False
14,700.0,flat,30.0,False,1,1,Madrid,3247,1,True
15,700.0,flat,35.0,False,1,1,Madrid,1894,1,False
16,700.0,flat,43.0,True,1,1,Madrid,4442,2,True
17,650.0,flat,60.0,True,2,1,Madrid,3985,1,False
18,650.0,chalet,206.0,False,3,1,Aldea del Fresno,43195,sin informacion,sin informacion
19,700.0,flat,105.0,True,3,2,Aranjuez,44003,bj,False
20,695.0,flat,40.0,False,1,1,Madrid,2271,4,True
21,675.0,flat,40.0,True,1,1,Villanueva del Pardillo,23556,bj,False
22,750.0,studio,45.0,False,0,1,Madrid,1027,bj,True
23,750.0,flat,99.0,True,3,2,Aranjuez,43492,1,True
24,680.0,flat,38.0,False,1,1,Madrid,2591,1,True
25,750.0,flat,51.0,True,1,1,Madrid,11896,1,True
26,750.0,penthouse,60.0,True,1,1,Las Rozas de Madrid,21316,2,False
27,750.0,studio,25.0,False,0,1,Madrid,533,4,True
28,750.0,flat,40.0,False,1,1,Madrid,1989,1,False
29,650.0,flat,62.0,True,2,1,Madrid,7841,1,False
30,750.0,studio,30.0,True,0,1,Madrid,935,3,False
31,750.0,flat,39.0,False,1,1,Madrid,2036,5,False
32,700.0,flat,62.0,True,2,1,Madrid,8492,3,False
33,747.0,flat,96.0,True,3,2,Navalcarnero,26611,1,True
34,640.0,studio,35.0,True,0,1,Madrid,7324,1,True
35,750.0,flat,30.0,False,1,1,Madrid,2133,st,True
36,750.0,flat,70.0,True,2,1,Alcalá de Henares,28703,2,True
37,625.0,flat,52.0,True,2,1,El Escorial,40445,2,False
38,700.0,studio,40.0,True,0,1,Madrid,1431,3,True
39,750.0,studio,40.0,True,0,1,Madrid,2417,en,True
40,650.0,flat,35.0,False,1,1,Madrid,1121,2,True
41,720.0,flat,70.0,True,3,1,Alcalá de Henares,29099,2,False
42,699.0,flat,52.0,True,1,1,Madrid,7092,3,True
43,750.0,flat,65.0,True,2,1,Leganés,13081,sin informacion,True
44,695.0,flat,65.0,True,2,1,Coslada,13904,sin informacion,True
45,750.0,flat,78.0,True,2,2,Torrejón de Ardoz,19719,sin informacion,True
46,620.0,flat,60.0,True,2,1,Madrid,7981,sin informacion,False
47,500.0,studio,28.0,False,0,1,Madrid,769,1,False
48,550.0,flat,38.0,True,1,1,Leganés,10938,sin informacion,False
49,750.0,flat,46.0,False,1,1,Madrid,1476,3,True
50,680.0,studio,55.0,True,0,1,Madrid,5097,bj,False
51,700.0,flat,50.0,True,1,2,Camarma de Esteruelas,32052,sin informacion,sin informacion
52,750.0,duplex,35.0,True,1,1,Madrid,4047,sin informacion,sin informacion
53,750.0,flat,66.0,True,2,1,Alcorcón,13311,1,True
54,650.0,flat,65.0,True,1,1,Alcalá de Henares,29440,en,True
55,720.0,flat,133.0,False,3,2,Pinto,19453,1,True
56,600.0,flat,50.0,True,1,1,Valdemoro,24430,sin informacion,True
57,650.0,flat,61.0,True,1,1,Collado Villalba,34886,2,True
58,650.0,flat,65.0,False,2,1,Alcorcón,11537,3,False
59,700.0,flat,45.0,True,1,1,Madrid,12321,3,False
60,625.0,flat,62.0,True,2,1,Getafe,11666,bj,False
61,595.0,flat,45.0,True,1,1,Madrid,4543,bj,False
62,650.0,flat,55.0,True,1,1,Madrid,10495,4,True
63,725.0,flat,50.0,True,1,1,Madrid,7708,2,True
64,750.0,flat,95.0,True,3,1,Alcalá de Henares,28483,8,True
65,700.0,penthouse,30.0,True,1,1,Madrid,12049,1,True
66,700.0,flat,27.0,False,1,1,Madrid,1391,3,False
67,650.0,flat,59.0,True,2,1,Alcalá de Henares,30562,1,True
68,550.0,flat,40.0,True,1,1,Paracuellos de Jarama,17750,3,True
69,650.0,flat,55.0,True,1,1,Madrid,10296,4,True
70,750.0,flat,65.0,True,2,1,Madrid,5580,sin informacion,True
71,725.0,flat,70.0,True,2,1,Madrid,4117,sin informacion,True
72,700.0,flat,80.0,True,1,1,Alcalá de Henares,29460,1,False
73,650.0,flat,40.0,True,1,1,Madrid,12224,bj,True
74,695.0,flat,90.0,True,3,1,Madrid,7729,sin informacion,False
75,750.0,flat,55.0,True,1,1,Madrid,6017,sin informacion,False
76,650.0,flat,65.0,True,2,1,Madrid,7559,sin informacion,True
77,666.0,flat,70.0,True,1,2,Villanueva del Pardillo,24862,1,True
78,750.0,flat,78.0,True,2,2,Alcalá de Henares,29976,sin informacion,True
79,630.0,flat,74.0,True,3,1,El Molar,36483,sin informacion,True
80,635.0,studio,55.0,True,0,1,Leganés,14528,2,True
81,725.0,flat,69.0,True,2,1,Collado Villalba,35892,1,True
82,750.0,flat,35.0,False,1,1,Madrid,859,1,False
83,690.0,flat,65.0,True,2,1,Madrid,4724,3,False
84,700.0,studio,30.0,False,0,1,Madrid,1041,2,True
85,730.0,flat,64.0,True,3,1,Parla,20235,1,False
86,750.0,flat,51.0,True,1,1,Madrid,3436,1,True
87,750.0,flat,48.0,False,1,1,Tres Cantos,20526,4,True
88,690.0,flat,35.0,True,1,1,Madrid,4802,sin informacion,False
89,750.0,flat,74.0,True,3,1,Alcorcón,13017,4,True
90,700.0,duplex,35.0,True,1,1,Madrid,852,bj,False
91,720.0,flat,42.0,True,1,1,Madrid,8333,4,True
92,595.0,flat,55.0,True,1,1,Quijorna,29699,1,False
93,700.0,flat,45.0,False,1,1,Madrid,1113,1,False
94,500.0,flat,45.0,True,1,1,Valdemorillo,32188,sin informacion,False
95,700.0,flat,75.0,True,2,1,Aranjuez,43915,1,False
96,675.0,duplex,87.0,True,2,2,Miraflores de la Sierra,44503,2,False
97,650.0,flat,45.0,True,1,1,Pedrezuela,37741,bj,False
98,750.0,studio,55.0,True,0,1,Madrid,918,2,True
99,720.0,studio,45.0,True,0,1,San Sebastián de los Reyes,15433,5,True
100,624.0,flat,45.0,True,1,1,Valdemoro,24077,sin informacion,True
101,633.0,flat,45.0,True,1,1,Valdemoro,24077,sin informacion,True
102,640.0,studio,33.0,True,0,1,Madrid,11189,2,True
103,645.0,flat,84.0,True,2,2,Aranjuez,43827,2,True
104,750.0,flat,46.0,False,1,1,Madrid,1069,3,False
105,735.0,studio,35.0,True,0,1,Madrid,11088,1,True
106,600.0,flat,55.0,True,1,1,Daganzo de Arriba,25189,sin informacion,sin informacion
107,750.0,flat,75.0,True,3,1,Madrid,8286,sin informacion,False
108,600.0,penthouse,25.0,True,1,1,Madrid,183,5,True
109,705.0,flat,48.0,True,1,1,Madrid,11472,4,True
110,650.0,flat,62.0,True,2,1,Guadarrama,43229,3,False
111,700.0,duplex,61.0,True,2,1,Cobeña,23917,1,False
112,650.0,studio,40.0,False,0,1,Madrid,5088,en,True
113,700.0,flat,40.0,True,1,1,Madrid,3076,bj,False
114,730.0,flat,51.0,True,2,1,Madrid,6767,4,False
115,750.0,flat,50.0,True,2,1,Madrid,8331,3,False
116,680.0,flat,56.0,True,2,1,Torrejón de Ardoz,19298,3,False
117,710.0,flat,78.0,True,3,1,Parla,21617,4,False
118,720.0,flat,47.0,True,2,1,Madrid,7088,1,False
119,750.0,studio,43.0,True,0,1,Madrid,5332,sin informacion,True
120,695.0,studio,40.0,True,0,1,Madrid,12376,sin informacion,True
121,630.0,flat,54.0,True,1,2,El Álamo,32432,sin informacion,sin informacion
122,750.0,flat,90.0,True,3,1,Algete,26401,sin informacion,True
123,730.0,flat,50.0,True,1,1,Madrid,8717,2,True
124,600.0,flat,90.0,True,3,1,Valdemoro,25182,sin informacion,True
125,650.0,studio,45.0,True,0,1,Madrid,5656,bj,True
126,750.0,flat,38.0,False,1,1,Madrid,470,bj,True
127,730.0,flat,50.0,True,1,1,Rivas-Vaciamadrid,16410,sin informacion,True
128,735.0,studio,30.0,True,0,1,Madrid,11188,2,True
129,610.0,flat,72.0,False,1,1,Pinto,19544,bj,True
130,580.0,chalet,54.0,False,3,2,Los Santos de la Humosa,39053,sin informacion,sin informacion
131,725.0,flat,50.0,True,1,1,Villanueva del Pardillo,23787,en,False
132,750.0,flat,48.0,True,1,1,Madrid,5085,1,False
133,750.0,flat,70.0,True,3,1,Alcalá de Henares,29660,2,False
134,750.0,flat,49.0,True,1,1,Madrid,8465,7,True
135,730.0,flat,60.0,True,3,1,Parla,20948,3,False
136,560.0,flat,26.0,False,1,1,Madrid,625,bj,False
137,700.0,studio,23.0,True,0,1,Madrid,1271,sin informacion,sin informacion
138,750.0,flat,80.0,True,3,1,San Fernando de Henares,14991,2,True
139,730.0,flat,70.0,True,3,1,Pinto,18781,3,False
140,730.0,flat,52.0,True,2,1,Madrid,8827,4,False
141,740.0,flat,64.0,True,2,1,Madrid,8365,3,False
142,720.0,flat,65.0,True,2,1,Madrid,7511,2,False
143,720.0,flat,63.0,True,2,1,Torrejón de Ardoz,19731,2,False
144,740.0,flat,54.0,True,2,1,Madrid,6636,1,True
145,720.0,flat,52.0,True,2,1,Getafe,12695,3,False
146,730.0,flat,45.0,True,2,1,Madrid,4385,3,False
147,600.0,duplex,80.0,False,1,1,Madrid,7223,sin informacion,sin informacion
148,600.0,duplex,80.0,False,1,1,Madrid,7141,sin informacion,sin informacion
149,725.0,duplex,71.0,True,2,1,Cobeña,23158,1,False
150,675.0,flat,76.0,True,3,1,Aldea del Fresno,43485,2,False
151,750.0,flat,54.0,True,1,1,San Sebastián de los Reyes,15834,3,True
152,750.0,duplex,79.0,True,2,2,Collado Villalba,34697,1,False
153,700.0,flat,54.0,True,1,1,Madrid,3354,2,True
154,750.0,flat,54.0,True,2,1,Madrid,8322,3,False
155,730.0,flat,48.0,True,2,1,Madrid,6997,3,False
156,650.0,flat,61.0,True,2,1,Alcalá de Henares,28605,4,False
157,730.0,flat,63.0,True,2,1,Madrid,7893,1,False
158,720.0,flat,50.0,True,2,1,Madrid,7041,2,False
159,720.0,flat,51.0,True,2,1,Madrid,6973,1,False
160,750.0,flat,47.0,True,2,1,Madrid,4538,1,False
161,730.0,flat,50.0,True,2,1,Madrid,7411,3,False
162,730.0,flat,40.0,True,2,1,Madrid,4201,2,False
163,670.0,flat,67.0,True,2,1,Valdemoro,25100,1,True
164,740.0,flat,52.0,True,2,1,Madrid,4862,3,False
165,720.0,flat,69.0,True,2,1,Alcalá de Henares,29084,1,True
166,750.0,flat,59.0,True,2,1,Madrid,8400,4,False
167,740.0,flat,45.0,True,2,1,Madrid,7720,3,False
168,740.0,flat,60.0,True,2,1,Madrid,6670,1,True
169,730.0,studio,45.0,False,0,1,Madrid,854,sin informacion,True
170,620.0,flat,75.0,True,3,1,Parla,21044,sin informacion,True
171,695.0,flat,67.0,True,2,1,Fuenlabrada,16111,sin informacion,False
172,650.0,flat,95.0,True,3,1,Navalcarnero,29884,sin informacion,True
173,675.0,flat,68.0,True,2,1,Alcalá de Henares,30461,sin informacion,True
174,695.0,flat,65.0,True,2,1,Madrid,8484,sin informacion,False
175,750.0,flat,111.0,True,2,2,Parla,20583,6,True
176,675.0,flat,35.0,False,1,1,Madrid,1016,sin informacion,sin informacion
177,730.0,flat,60.0,False,3,1,Parla,20756,3,False
178,690.0,flat,85.0,True,2,1,Parla,20804,sin informacion,True
179,750.0,flat,45.0,False,1,1,Madrid,5089,bj,False
180,600.0,studio,32.0,True,0,1,Madrid,6325,1,True
181,723.0,studio,25.0,True,0,1,Rivas-Vaciamadrid,16775,sin informacion,True
182,725.0,flat,50.0,True,1,1,Madrid,10503,1,True
183,750.0,flat,67.0,True,3,1,Getafe,11657,sin informacion,sin informacion
184,600.0,flat,45.0,True,2,1,Mataelpino,41003,sin informacion,sin informacion
185,750.0,flat,70.0,True,3,1,San Fernando de Henares,14642,2,False
186,450.0,penthouse,60.0,True,1,1,Villa del Prado,53238,sin informacion,False
